ts	phase	decision	why	evidence	result
2026-07-31T19:26:21Z	sweep	rejected the seven-turn combined perturbation as saturated	combined-deep and repeat-deep each scored 6 of 6 under Sonnet 4.5	autoresearch/results/cycle2-summary.json	no effect, task-model pair is too easy
2026-07-31T19:26:21Z	baseline	opened a GPT 5.6 Luna calibration campaign	Haiku lacked static competence while Sonnet saturated every perturbation; an intermediate model may expose the boundary	autoresearch/campaign-luna.json	open until static calibration
2026-07-31T19:28:42Z	harness	rejected the GPT Luna multi-turn campaign as a HUD harness incompatibility	all six static calls passed, but every later Chat turn failed OpenAI Responses message validation	autoresearch/results/cycle3-summary.json	12 harness errors excluded from model metrics
2026-07-31T19:28:42Z	baseline	opened an easier Haiku campaign with the seven-turn protocol	Haiku needs a higher static ceiling while retaining lower intent-tracking capacity	autoresearch/campaign-haiku-easy.json	open until static calibration
2026-07-31T19:32:25Z	sweep	rejected the easier Haiku campaign as saturated	static, repeat-deep, and combined-deep each scored 6 of 6	autoresearch/results/cycle4-summary.json	easy arithmetic lacks intent-tracking depth
2026-07-31T19:32:25Z	baseline	opened a boundary campaign around the only original task Haiku solved consistently	this preserves static competence while increasing arithmetic and stale-value pressure	autoresearch/campaign-haiku-boundary.json	open until four static repetitions pass
2026-07-31T19:33:29Z	baseline	rejected the boundary campaign after repeated static calibration	the earlier 2 of 2 success did not replicate; the new campaign scored 1 of 4	autoresearch/results/cycle5-summary.json	rejected noisy arithmetic capability
2026-07-31T19:33:29Z	architecture	pivoted the source-task domain from arithmetic to exact lookup	intent tracking should be measured without arithmetic skill dominating the result	autoresearch/decisions.tsv	build typed lookup tasks next
2026-07-31T19:41:01Z	sweep	rejected the six-row lookup campaign as saturated	static, repeat-deep, and combined-deep each scored 6 of 6	autoresearch/results/cycle6-summary.json	exact lookup is valid but too sparse
2026-07-31T19:41:01Z	architecture	built a deterministic dense lookup campaign generator	a rerunnable generator can sweep table density without hand-authoring tasks	autoresearch/make_lookup_campaign.py	open until dense baseline calibration
2026-07-31T20:18:08Z	sweep	rejected the dense 18-row lookup campaign as saturated	static, repeat-deep, and combined-deep each scored 12 of 12 under Haiku	autoresearch/results/cycle7-summary.json	no effect, corrections sit next to the final question
2026-07-31T20:37:56Z	sweep	rejected the buried-anchor lookup campaign as saturated	static, repeat-buried, and combined-buried each scored 12 of 12 under Haiku	autoresearch/results/cycle8-summary.json	no effect, replies restate the resolved code each turn
2026-07-31T20:37:56Z	controller	attributed lookup saturation to early answer resolution	the model resolves the code right after the corrections and copies it from its own replies, so burial depth cannot bind	autoresearch/results/cycle8.jsonl	withhold the table until the final turn next
2026-07-31T21:01:00Z	goal	unified repository and benchmark task synthesis under one project objective	counterfactual contracts and evolving-intent trajectories are generator families for novel and/or empirically hard task variants	NOTES.md	Evolving Intent remains core Parallax work rather than a prerequisite side replication
2026-07-31T21:01:00Z	taxonomy	separated semantic novelty, interaction novelty, empirical hardness, and validity	each is a distinct claim requiring different admission evidence and must not be inferred from the others	NOTES.md	generated families must declare the claims they support
2026-07-31T21:01:00Z	milestone	selected SWE-bench Verified intent evolution as the next benchmark-variant integration target	it supplies executable source tasks and native verifiers while testing a new interaction generator	NOTES.md	design static, matched no-change, and evolved conditions under one fixed execution contract
2026-07-31T22:42:00Z	architecture	selected one content-addressed episode spine after four sketches and cross-judgment	recipes, symbolic variants, and conversations become inputs or projections rather than peer task identities	architecture/episode-spine/README.md	one admission path and one typed reward authority
2026-07-31T22:42:00Z	runtime	rejected HUD Chat for stateful coding episodes	Chat creates a fresh rollout and hosted environment per turn, while Evolving Intent requires one persistent workspace and submission-triggered turn injection	architecture/episode-spine/README.md	use a custom HUD Agent wrapping mini-swe-agent inside one Run
2026-07-31T22:42:00Z	adapter	limited skill-driven adaptation to offline authoring	skill output must compile hermetically, pass fixtures and leak checks, and be content-addressed before admission	architecture/episode-spine/README.md	skills cannot author identity, reward, admission, or runtime transitions
2026-07-31T22:42:00Z	spike	accepted the pre-registered director and synchronous mini-swe HUD bridge	local contract test revealed task-scoped turns through FastMCP and executed mini-swe-agent 2.4.6 actions over HUD async SSH from worker threads	architecture/episode-spine/spikes/test_hud_spikes.py	proceed to Docker and deployed-runtime proofs
2026-08-01T18:18:00Z	implementation	accepted the first Episode Spine identity and reward migration	canonical public and sealed commitments, immutable baselines, typed outcomes, explicit primary and hard gates, scrubbed verifier environments, and success markers passed 47 tests	architecture/episode-spine/admission-v2.json	port one admitted task through a persistent synthetic Docker episode
2026-08-01T18:18:00Z	admission	re-admitted the generated Click family after reward hardening	all 12 pinned-revision oracles passed deterministically and no-op, forbidden-path, and upstream-restore submissions received zero reward	architecture/episode-spine/admission-v2.json	run one official SWE-bench instance after the Docker contract proof
2026-08-01T19:01:00Z	runtime	accepted the persistent Docker episode contract	three hidden turns used one HUD run, one workspace, and one mini-swe-agent history; accumulated state and terminal reward both matched	architecture/episode-spine/spikes/test_docker_episode.py	run the official native verifier before deployment
2026-08-01T19:01:00Z	verification	accepted the pinned official SWE-bench harness proof	gold for django__django-11099 resolved with 3 fail-to-pass and 19 pass-to-pass tests green	architecture/episode-spine/swebench-proof.json	deploy the exact Docker-proven environment
2026-08-01T19:07:00Z	deployment	published parallax_episode_spine version 1	HUD remote build and v6 introspection succeeded with one task and three capabilities	architecture/episode-spine/deployment.json	run a hosted post-deploy canary
2026-08-01T19:08:00Z	runtime	blocked hosted canary on HUD runtime API drift	HUD 0.6.12 called mcp.beta.hud.ai/runtime/sessions and received 404 before provisioning; Docker and deployed-image introspection remain green	architecture/episode-spine/deployment.json	confirm the supported runtime endpoint or platform entitlement before retrying
2026-08-01T21:30:00Z	correction	retracted the HUD runtime API-drift diagnosis	HUD 0.6.12 is latest and the route exists; deploy normalized parallax_episode_spine to parallax-episode-spine while HUDRuntime sent Task.env verbatim, causing registry lookup 404	architecture/episode-spine/deployment.json	canonicalize declared environment names before deploy
2026-08-01T21:34:00Z	deployment	published canonical parallax-episode-spine version 2	remote v6 introspection passed and an unmodified traced HUDRuntime canary received reward 1 in 43.84 seconds	architecture/episode-spine/deployment.json	port an admitted SWE-bench task and matched intent arms
2026-08-01T22:02:00Z	integration	accepted the first local SWE-bench Episode Spine adapter	django__django-11099 runs static, matched-no-change, and evolved schedules against one pinned source and sealed official verifier; gold passed all arms and no-op failed	architecture/episode-spine/spikes/test_swebench_episode.py	run real gateway calibration
2026-08-01T22:16:00Z	reward	allowed focused agent tests after a sealed-restore audit	GPT-5.6 Sol correctly fixed source and added tests in all arms; the grader restores the official test file before applying its sealed patch, so those edits cannot affect reward	architecture/episode-spine/swebench-environment/env.py	rerun matched calibration
2026-08-01T22:24:00Z	calibration	rejected a hardness claim for the single Django canary	GPT-5.6 Sol scored 3/3 and Qwen3 8B scored 0/3; aggregate reward is 0.5 but both models are internally saturated and matched-to-evolved delta is zero	architecture/episode-spine/swebench-calibration-summary.json	build remotely reproducible images and select harder boundary instances
2026-08-01T23:00:00Z	implementation	accepted the first synthesis-kernel vertical slice	pinned GSM8K and frozen Evolving Intent inputs now compile into one atomically admitted static, matched, and evolved family with canonical public and sealed identities	architecture/synthesis-kernel/README.md	add another source domain only after the lifecycle contract holds
2026-08-01T23:00:00Z	replay	accepted deterministic local family locking	a real CLI build and network-free locked replay produced byte-identical files for family 5ebc593aee75327d17e2a9d01c2e8f86752566990c7eafeaee5c2dcb55469cf7	architecture/synthesis-kernel/ADR-001.md	keep runtime generation outside the locked build path
2026-08-02T06:24:00Z	architecture	selected a thin artifact kernel with strategy-specific plans	intent conversations, persistent coding episodes, and checkpoint sequences share identity and admission but not state or reward timing	architecture/synthesis-kernel/ADR-001.md	rejected a universal transformation algebra
2026-08-02T06:24:00Z	reuse	kept Microsoft Evolving Intent at the frozen proposal boundary	pinned extraction and scheduling can aid compatibility without importing mutable runners, provider calls, or reward logic into Parallax	architecture/synthesis-kernel/ADR-001.md	port typed semantics with fixture parity instead of vendoring the runtime
2026-08-02T06:24:00Z	learning	separated benchmark discrimination from an evolving-intent effect	the Django canary split model capability but each model was internally saturated and every arm had the same within-model reward	architecture/episode-spine/swebench-calibration-summary.json	no hardness claim; select boundary tasks and models
2026-08-02T06:24:00Z	boundary	kept dataset acquisition outside deterministic synthesis	GSM8K locked replay consumes complete pinned records and reproduces bytes without network or provider access	architecture/synthesis-kernel/README.md	add domain acquisition adapters outside the build kernel
2026-08-02T06:24:00Z	roadmap	ordered cross-domain proof before checkpoint execution	GSM8K proves scalar conversations; BIRD-SQL should prove sealed database execution; BrowseComp+ should prove tool evidence; SWE-bench should then migrate to task-ID runtime resolution	architecture/synthesis-kernel/ADR-001.md	begin BIRD-SQL without generalizing the kernel first
2026-08-02T06:30:00Z	audit	kept HUD reward integrity open after cross-model review	the SWE prototype uses git diff for scope and does not inherit TreeSnapshot coverage for untracked or ignored files	architecture/episode-spine/swebench-environment/env.py	wire authoritative snapshots before treating episode reward as hardened
2026-08-02T06:30:00Z	audit	kept staged precursor isolation open	the runtime asks models not to edit but does not enforce a read-only workspace before the terminal intent	architecture/episode-spine/spikes/run_swebench_calibration.py	do not attribute failures to intent tracking until write policy is enforced
2026-08-02T06:30:00Z	correction	retracted the Django model-capability discrimination claim	Qwen3 8B made no tracked changes and received invalid-submission zeros, which cannot distinguish capability from agent-loop or tool-use failure	architecture/episode-spine/swebench-calibration-summary.json	only zero matched-to-evolved degradation is supported
2026-08-02T06:30:00Z	correction	separated the official harness proof from the episode grader	the proof used the pinned SWE-bench Lite harness while the episode runs its focused Django command and sealed patch without harness classification	architecture/episode-spine/swebench-proof.json	do not describe the episode reward as a full official-harness invocation
2026-08-02T06:30:00Z	correction	limited hosted evidence to the synthetic persistence canary	parallax-episode-spine version 2 ran persistent-write; the SWE-bench image remained local because its cached harness base is not remotely reproducible	architecture/episode-spine/deployment.json	build a public reproducible benchmark image before hosted claims
2026-08-02T06:30:00Z	archive	abandoned the table-last lookup campaign before further calls	local review showed the answer could be recovered from the final table row without retaining the evolved intent	autoresearch/campaign-tablelast.json	no accepted cycle 9 evidence
2026-08-02T06:30:00Z	safety	recorded the earlier workspace containment breach	an unisolated rollout modified a separate source clone outside its assigned workspace	NOTES.md	require a container or hard filesystem boundary for production rollouts
2026-08-02T06:31:00Z	evidence	superseded the calibration-summary pointer for the Qwen correction	the raw rows show empty changed-path lists and invalid-submission outcomes directly	architecture/episode-spine/swebench-calibration-qwen3-8b.jsonl	Qwen capability remains inconclusive
2026-08-02T06:31:00Z	evidence	superseded the harness-proof pointer for episode grading	the environment source shows the focused command and return-code reward actually used during episodes	architecture/episode-spine/swebench-environment/env.py	full official-harness integration remains open
2026-08-02T06:31:00Z	evidence	superseded the cycle-9 campaign pointer for its archive rationale	the audited project notes record the shortcut and absence of accepted evidence	NOTES.md	table-last remains archived
2026-08-02T06:34:00Z	scope	recorded the substitution of SWE-bench Lite for the planned Verified milestone	the available pinned proof and episode both use Lite, so they do not satisfy the original Verified target	architecture/episode-spine/swebench-proof.json	SWE-bench Verified remains open
2026-08-02T06:34:00Z	reproducibility	limited the Microsoft replication claim	published code omits generated conversations and provider snapshots, so exact paper outputs cannot be reconstructed	architecture/synthesis-kernel/NOTES.md	target algorithm compatibility and locked Parallax replay
2026-08-02T06:34:00Z	concurrency	kept multi-rollout workspace isolation open	the SWE prototype uses one module-level workspace and director-state map, so concurrent task resets can interfere	architecture/episode-spine/swebench-environment/env.py	require per-run workspaces before concurrency
2026-08-02T06:34:00Z	correction	treated the six-run intent comparison as inconclusive rather than a measured null	GPT was at ceiling and Qwen produced invalid submissions at one run per arm, leaving no power to detect degradation	architecture/episode-spine/swebench-calibration-qwen3-8b.jsonl	select boundary models and repeat valid runs
2026-08-02T06:34:00Z	evidence	superseded the prose pointer for the containment breach	the saved diff directly records the external source clone modification	results/escaped-workspace-click.diff	require hard filesystem isolation
2026-08-02T06:34:00Z	evidence	declared the deployment receipt mutable and insufficient for historical rows	the final receipt proves version 2 but no longer preserves version 1, the 404, or the retraction sequence	architecture/episode-spine/deployment.json	future deployment decisions need immutable per-attempt receipts
2026-08-02T06:34:00Z	verification	limited the SWE gold-arm contract to cooperative-fixture evidence	the probe chooses read-only actions by matching prompt text, so it does not prove runtime write isolation	architecture/episode-spine/spikes/test_swebench_episode.py	add an adversarial precursor-write test after enforcement exists
2026-08-02T06:34:00Z	evidence	kept locked-replay receipt publication open	tests and prose report byte identity, but no machine-readable replay receipt is stored with the architecture artifact	architecture/synthesis-kernel/README.md	publish a build receipt in the next kernel milestone
2026-08-02T08:04:00Z	scope	reframed Parallax as a full research protocol	task synthesis and episode execution alone cannot formulate falsifiable questions, enforce controlled designs, or retain analysis lineage	architecture/evolving-intent-pipeline/README.md	put immutable causal-design records above strategy-specific state machines
2026-08-02T08:04:00Z	architecture	kept Evolving Intent and checkpoint evolution as separate state machines	conversation intent and persistent checkpoint workspaces differ in state, transitions, reset semantics, verification, and reward timing	architecture/evolving-intent-pipeline/ADR-001.md	share only source pinning, proposal identity, admission, committed evaluation, evidence, and claim discipline
2026-08-02T08:04:00Z	claims	separated behavioral failure from mechanism, intervention, and outcome	a zero or quality metric can establish neither a training defect nor a causal mechanism without valid controls and capability checks	architecture/evolving-intent-pipeline/README.md	encode the four categories as distinct records and refuse automatic promotion
2026-08-02T08:04:00Z	experiment	required pre-registered controlled designs	treatment construction, parity, blocking, replication, capability gates, negative controls, contamination, uncertainty, and stopping are currently missing	architecture/evolving-intent-pipeline/README.md	freeze the design before treatment outcomes and mark failed gates inconclusive
2026-08-02T08:04:00Z	rl	defined policy evaluation separately from training intervention	benchmark reward observes fixed policy behavior but cannot identify how training produced that behavior	architecture/evolving-intent-pipeline/ADR-001.md	require environment dynamics, train/eval splits, update lineage, controls, and multiple seeds for training claims
2026-08-02T08:04:00Z	migration	selected deletion-first replacement	current variant, campaign, intent, checkpoint, and SWE episode models conflict or make stronger claims than their executable paths support	architecture/evolving-intent-pipeline/README.md	characterize and preserve the baseline, subtract or quarantine conflicting production abstractions, then add protocol and evidence records without a dual path
2026-08-02T08:04:00Z	verification	blocked production implementation on real-path characterization	upstream omits generated paper conversations and several domains require absent or licensed databases, corpora, images, test specs, and judges	architecture/evolving-intent-pipeline/README.md	create and execute .cursor/skills/verify-parallax against current CLI, library, pytest, and HUD paths; add no production verification CLI
2026-08-02T08:04:00Z	extension	selected explicit domain constructor injection	a closed enum, discovery magic, and global registry either block external domains or obscure provenance and import ownership	architecture/evolving-intent-pipeline/ADR-001.md	verify a wheel-installed custom domain through an explicit catalog
2026-08-02T08:04:00Z	provenance	accepted a six-way attempt taxonomy with semantic identity boundaries	transport, provider, parse, schema, semantic, and judge failures need distinct diagnosis while operational telemetry must not perturb task meaning	architecture/evolving-intent-pipeline/README.md	retain parsed rejects and keep timestamps, request IDs, and billing in an audit sidecar
2026-08-02T08:04:00Z	parity	required structural and deterministic-rendering characterization	upstream mutable prefix counters are not production-safe but exact text remains testable under injected deterministic stubs	architecture/evolving-intent-pipeline/README.md	use structural parity as primary and refuse imported upstream JSON at production sealing
2026-08-02T08:11:00Z	correction	corrected the SWE scheduler-overlay description	create_sample_swe removes symptom-category arguments before the generic scheduler and its post-fill hook re-injects them at the front of the appropriate slots before text rendering	architecture/evolving-intent-pipeline/README.md	do not describe the overlay as stripping before precursor construction or re-injecting the source problem
2026-08-02T08:15:00Z	verification	proved the project-local frozen-family CLI baseline	direct parallax build and locked replay produced one family ID and byte-identical seven-file artifact trees before scratch cleanup	.cursor/skills/verify-parallax/evidence/unit0-family-build-rerun/receipt.json	Microsoft generation, upstream characterization, native asset feasibility, providers, HUD rollout, and checkpoint execution remain unproved
2026-08-02T09:05:00Z	architecture	adopted one labeled formal model for the research protocol	definitions, source recurrences, executable invariants, empirical estimands, and mechanism hypotheses require different evidence and cannot imply one another	architecture/evolving-intent-pipeline/FORMAL-MODEL.md	use the formal model as the notation and claim boundary for later protocol work
2026-08-02T09:05:00Z	evidence	bounded freeze replay and upstream claims	Parallax freezes experiment design before treatment outcomes and accepted stochastic construction before deterministic compilation; Unit 0 proves only byte-identical artifacts from one hand-authored proposal	architecture/evolving-intent-pipeline/FORMAL-MODEL.md	keep release-level Evolving Intent and SloP pinning questions open until primary artifacts are characterized
2026-08-02T09:16:00Z	evidence	resolved the SCBench v0.2 source pin	GitHub tag and commit APIs both resolve v0.2 to bed5ae2ae2ec8f5c474d7b5e1ac1448c84a2cba1 while Zenodo stores the paper rather than a complete locked run	architecture/evolving-intent-pipeline/LITERATURE-REVIEW.md	exclude the mistyped hash and retain environment problem-catalog and output-bundle limits
2026-08-02T09:16:00Z	verification	kept one app-level verification skill	one entry point can share launch doctor evidence and cleanup while feature helpers remain independently executable and receipt-backed	architecture/evolving-intent-pipeline/FORMAL-MODEL.md	add helpers only for real user paths and split a skill only for genuinely different launch or isolation semantics
2026-08-02T09:22:00Z	correction	retracted the synthesis-kernel slice as an Evolving Intent implementation	the current compiler consumes prewritten event messages and appends the complete source question instead of executing extraction, counterfactual, predecessor, or source scheduling stages	src/parallax/evolving_intent.py	retain the slice only as artifact-lifecycle and locked-replay evidence; algorithmic generation remains open
2026-08-02T09:37:42Z	scope	recorded the user-driven correction from a frozen proposal scaffold to the actual Evolving Intent algorithm	the user rejected byte-replay plumbing as the requested pipeline and required source-grounded extraction, counterfactuals, predecessors, scheduling, rendering, and native evaluation	architecture/evolving-intent-pipeline/NOTES.md	treat the scaffold only as characterization and keep algorithmic generation open
2026-08-02T09:37:42Z	provenance	limited the hand-authored family claim to artifact determinism	the proposal uses placeholder digest-shaped strings and a school_supply_sales context that does not match the Natalia clips source task	.cursor/skills/verify-parallax/evidence/unit0-family-build-provenance-20260802/receipt.json	Unit 1 must delete or production-reject parallax.frozen-proposal.v1 rather than treat it as generation provenance
2026-08-02T09:37:42Z	architecture	selected Candidate D as the Evolving Intent redesign base after the four-candidate arena and source-checked cross-judge	D best enforced the provider-to-SpecPack freeze boundary, provenance minting, source restoration, domain extension, and hard-cut deletion while bounded grafts close its evidence gaps	architecture/evolving-intent-pipeline/DESIGN-SELECTION.md	use D with the recorded B and A grafts and keep external-asset coverage open
2026-08-02T09:37:42Z	calibration	recorded static versus multi-turn budget inequivalence in the old SWE calibration	static allowed at most 12 agent steps while matched and evolved allowed up to 12 steps per turn, so static cannot support a budget-matched contrast	architecture/episode-spine/swebench-calibration-summary.json	treat the six-run comparison as inconclusive and require explicit budget parity or estimand
2026-08-02T09:37:42Z	runtime	recorded platform-visible HUD telemetry as a hosted runtime prerequisite	the normalized hosted diagnostic returned 409 with telemetry disabled because tunnel authorization required a platform-visible trace	NOTES.md	retain telemetry for hosted HUD runs and treat trace visibility as runtime configuration rather than semantic task identity
2026-08-02T09:37:42Z	verification	proved the frozen-family baseline against exact dirty-worktree bytes	the new receipt retains base HEAD but binds 27 current worktree and copied-config inputs by relative path and SHA-256 plus relevant git status and tracked-diff digest	.cursor/skills/verify-parallax/evidence/unit0-family-build-provenance-20260802/receipt.json	build and replay reproduced the same family and arm IDs and byte-identical seven-file trees
2026-08-02T09:37:42Z	evidence	proved failed helper attempts survive scratch cleanup	a deliberate launch failure retained only its transcript, stdout, stderr, and small failure receipt before its run-specific scratch directory was removed	.cursor/skills/verify-parallax/evidence/unit0-family-build-failure-20260802/failure-receipt.json	failed proof is visible without preserving partial stores caches or credentials
2026-08-02T09:43:00Z	audit	kept the five reviewed production issues open	documentation and evidence closure does not change admission identity parsing matched-arm coupling event payloads or fixture contamination	audit-parallax-decision-trail/README.md#open-production-gates	the canonical log now reaches the grouped production gates without duplicating five findings
